SpecID	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Species	Synonyms	AlternativeGenus	Subspecies	RemarksTaxonomy
S01320	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) graeca	.	.	.	.
S01330	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) hussoni	.	.	.	.
S01340	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) ithakii	.	.	.	.
S01350	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) kalithea	.	.	.	.
S01360	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) kiriakii	.	.	.	.
S01370	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) laetitiae	.	.	.	.
S01380	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) linderii	.	.	.	.
S01390	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) matsakisi	.	.	.	.
S01400	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) naxia	.	.	.	.
S01410	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) palpata	Dolichopoda calabra	.	.	.
S01420	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) paraskevi	.	.	.	.
S01430	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) patrizii	.	.	.	.
S01440	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) pavesii	.	.	.	.
S01450	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) steriotisi	.	.	.	.
